0.70	0.61	9.75	-0.12	-0.19	0.12	58843.01
0.74	0.58	9.79	0.06	-0.12	0.00	58843.03
0.70	0.57	9.75	0.00	-0.12	0.06	58843.05
0.67	0.59	9.79	0.06	-0.06	-0.12	58843.08
0.65	0.59	9.74	0.00	0.00	-0.06	58843.10
0.67	0.60	9.75	0.06	-0.06	-0.06	58843.12
0.70	0.61	9.77	-0.19	0.00	0.12	58843.14
0.67	0.58	9.72	0.12	0.12	-0.06	58843.16
0.67	0.57	9.76	0.00	0.06	0.00	58843.18
0.68	0.55	9.71	0.00	-0.12	0.00	58843.20
0.68	0.58	9.78	-0.06	-0.06	0.06	58843.21
0.69	0.57	9.81	0.12	-0.12	-0.12	58843.24
0.71	0.60	9.76	0.00	-0.19	-0.12	58843.26
0.70	0.59	9.80	0.00	0.00	-0.12	58843.28
0.69	0.59	9.71	-0.06	0.00	-0.06	58843.30
0.69	0.59	9.76	-0.06	-0.06	0.00	58843.32
0.68	0.57	9.76	0.00	0.06	-0.06	58843.34
0.69	0.58	9.72	0.00	0.12	-0.12	58843.36
0.69	0.59	9.74	0.06	0.00	0.00	58843.38
0.69	0.59	9.71	-0.06	0.19	0.00	58843.40
0.70	0.58	9.79	0.06	0.06	0.06	58843.42
0.70	0.56	9.78	0.00	-0.06	-0.06	58843.44
0.65	0.60	9.75	0.06	0.12	-0.12	58843.46
0.68	0.59	9.81	0.12	0.06	0.00	58843.48
0.64	0.59	9.70	-0.06	0.00	-0.06	58843.50
0.68	0.59	9.77	-0.06	0.00	-0.12	58843.52
0.69	0.59	9.75	-0.06	-0.19	-0.06	58843.54
0.69	0.58	9.73	0.00	-0.06	0.12	58843.56
0.73	0.57	9.76	0.00	-0.06	0.00	58843.58
0.71	0.54	9.69	0.00	-0.06	0.06	58843.60
0.71	0.57	9.80	0.06	0.00	0.00	58843.62
0.69	0.62	9.77	0.00	-0.06	-0.06	58843.64
0.65	0.67	9.72	0.06	-0.31	-0.06	58843.66
0.68	0.57	9.78	-0.12	-0.19	0.00	58843.68
0.69	0.61	9.71	0.19	-0.12	0.06	58843.70
0.68	0.59	9.74	0.06	-0.12	0.19	58843.72
0.70	0.59	9.76	-0.06	-0.19	-0.19	58843.74
0.69	0.60	9.77	0.06	-0.12	0.06	58843.76
0.67	0.57	9.78	0.00	-0.12	0.06	58843.78
0.68	0.58	9.70	-0.06	-0.06	0.06	58843.80
0.68	0.57	9.78	0.00	-0.12	0.00	58843.82
0.68	0.62	9.78	0.12	0.19	-0.12	58843.84
0.70	0.61	9.75	0.12	-0.06	0.00	58843.86
0.66	0.59	9.77	-0.12	-0.31	0.12	58843.88
0.67	0.60	9.73	-0.12	-0.19	-0.19	58843.90
0.67	0.59	9.75	0.00	-0.12	-0.19	58843.92
0.72	0.59	9.76	0.06	-0.12	-0.12	58843.94
0.70	0.58	9.76	0.06	-0.06	-0.06	58843.96
0.70	0.58	9.80	0.06	0.06	-0.06	58843.98
0.70	0.58	9.70	0.12	-0.12	0.00	58844.00
0.68	0.61	9.77	0.06	-0.06	0.00	58844.02
0.67	0.61	9.81	-0.12	-0.06	-0.25	58844.04
0.69	0.61	9.76	0.00	-0.06	0.06	58844.06
0.69	0.57	9.77	0.06	0.00	0.12	58844.08
0.70	0.58	9.72	0.00	-0.06	0.00	58844.10
0.70	0.60	9.80	0.06	-0.19	0.12	58844.12
0.70	0.61	9.75	0.06	0.00	0.00	58844.14
0.70	0.59	9.75	0.06	0.12	0.06	58844.16
0.69	0.59	9.80	-0.06	-0.12	0.12	58844.18
0.66	0.60	9.71	-0.12	0.00	0.00	58844.20
0.67	0.60	9.79	-0.12	-0.12	0.06	58844.22
0.67	0.59	9.75	0.00	-0.06	0.12	58844.24
0.70	0.61	9.70	0.00	-0.06	0.00	58844.26
0.70	0.57	9.73	-0.06	-0.12	0.00	58844.28
0.72	0.58	9.69	0.00	0.06	0.12	58844.30
0.68	0.59	9.79	0.00	-0.19	0.06	58844.32
0.67	0.61	9.79	0.00	-0.12	0.12	58844.34
0.69	0.58	9.73	0.00	-0.06	0.06	58844.36
0.71	0.61	9.80	0.00	0.00	0.12	58844.38
0.71	0.59	9.69	0.12	0.00	0.00	58844.40
0.68	0.60	9.78	0.00	0.00	0.00	58844.42
0.69	0.57	9.78	0.00	0.06	0.12	58844.45
0.68	0.57	9.71	0.19	0.06	0.12	58844.47
0.67	0.58	9.77	-0.06	0.00	0.00	58844.49
0.67	0.58	9.69	0.06	0.12	-0.12	58844.51
0.71	0.60	9.78	0.00	0.06	0.00	58844.53
0.69	0.60	9.76	-0.06	-0.06	0.12	58844.55
0.71	0.61	9.73	-0.06	-0.12	0.00	58844.57
0.70	0.60	9.73	0.06	0.00	0.06	58844.59
0.68	0.58	9.69	-0.06	-0.06	-0.06	58844.61
0.73	0.58	9.80	0.00	0.06	-0.12	58844.63
0.72	0.57	9.77	-0.06	0.06	0.00	58844.65
0.70	0.59	9.72	0.12	-0.06	0.00	58844.67
0.66	0.61	9.79	-0.06	0.12	-0.06	58844.69
0.67	0.60	9.72	0.12	0.06	-0.06	58844.71
0.67	0.59	9.75	0.12	-0.06	0.00	58844.73
0.69	0.60	9.78	0.00	0.00	-0.12	58844.75
0.70	0.60	9.73	-0.06	-0.12	0.06	58844.77
0.69	0.58	9.76	-0.19	-0.06	-0.06	58844.79
0.68	0.58	9.74	0.06	0.00	-0.06	58844.81
0.69	0.58	9.75	0.06	0.19	0.12	58844.83
0.67	0.58	9.81	0.06	0.19	0.06	58844.85
0.67	0.57	9.70	0.19	0.25	0.00	58844.87
0.68	0.59	9.81	0.06	0.06	-0.06	58844.89
0.71	0.58	9.74	-0.06	-0.06	0.06	58844.91
0.68	0.60	9.75	0.00	-0.06	-0.12	58844.93
0.69	0.59	9.75	-0.12	-0.12	0.06	58844.95
0.69	0.59	9.75	0.06	-0.06	0.00	58844.97
0.68	0.61	9.80	0.06	0.12	0.00	58844.99
0.69	0.60	9.66	0.06	0.19	0.00	58845.01
0.70	0.61	9.76	0.00	0.00	0.00	58845.03
0.70	0.58	9.78	0.06	0.31	0.00	58845.05
0.70	0.60	9.76	0.06	0.12	0.06	58845.07
0.66	0.59	9.80	-0.12	-0.06	0.00	58845.09
0.68	0.57	9.69	-0.12	0.19	-0.31	58845.11
0.70	0.61	9.75	-0.06	0.00	0.00	58845.13
