0.73	0.56	9.74	0.12	0.00	0.00	58909.70
0.77	0.58	9.75	-0.06	-0.19	-0.12	58909.72
0.74	0.57	9.78	-0.12	-0.12	0.12	58909.74
0.75	0.56	9.74	0.00	-0.25	0.00	58909.76
0.73	0.59	9.76	0.00	0.00	0.12	58909.78
0.72	0.57	9.67	-0.12	-0.06	-0.06	58909.80
0.77	0.60	9.75	0.00	-0.12	0.00	58909.82
0.77	0.62	9.76	-0.06	0.25	-0.06	58909.84
0.76	0.56	9.77	0.00	-0.06	-0.06	58909.86
0.74	0.58	9.77	-0.06	0.12	-0.12	58909.88
0.75	0.57	9.74	-0.06	0.06	-0.06	58909.90
0.71	0.57	9.79	-0.12	0.06	0.06	58909.92
0.74	0.57	9.78	-0.06	-0.19	-0.06	58909.94
0.73	0.62	9.75	0.06	0.25	-0.12	58909.96
0.74	0.58	9.73	-0.19	-0.06	-0.19	58909.98
0.74	0.59	9.72	0.06	0.06	-0.06	58910.00
0.75	0.59	9.75	0.00	0.12	0.06	58910.02
0.76	0.57	9.77	0.00	-0.06	-0.12	58910.04
0.76	0.57	9.75	-0.06	-0.06	0.12	58910.06
0.76	0.60	9.79	0.06	-0.06	0.06	58910.08
0.76	0.59	9.72	-0.06	0.00	0.06	58910.10
0.77	0.57	9.74	0.12	-0.06	-0.12	58910.12
0.74	0.56	9.72	0.00	0.06	-0.06	58910.14
0.79	0.59	9.73	0.00	0.00	0.00	58910.16
0.74	0.58	9.78	0.00	0.00	0.00	58910.18
0.74	0.57	9.71	0.00	-0.06	0.06	58910.20
0.78	0.59	9.75	0.00	0.06	-0.12	58910.22
0.75	0.58	9.77	-0.06	0.06	0.00	58910.24
0.75	0.58	9.75	0.06	0.00	0.00	58910.26
0.74	0.60	9.81	-0.06	-0.19	-0.06	58910.28
0.74	0.61	9.74	0.00	-0.06	0.00	58910.30
0.74	0.59	9.74	0.06	0.06	0.06	58910.32
0.75	0.61	9.73	-0.12	-0.25	0.06	58910.34
0.74	0.58	9.72	-0.06	0.06	0.06	58910.36
0.74	0.57	9.77	-0.12	0.00	0.00	58910.38
0.76	0.58	9.69	-0.06	-0.19	-0.12	58910.40
0.74	0.60	9.78	0.00	-0.06	0.06	58910.42
0.74	0.58	9.80	0.00	0.00	0.00	58910.44
0.74	0.59	9.73	0.00	-0.06	0.00	58910.46
0.74	0.61	9.78	0.00	-0.12	-0.19	58910.48
0.75	0.58	9.71	0.06	-0.12	0.00	58910.50
0.77	0.59	9.74	-0.06	-0.06	0.00	58910.52
0.75	0.58	9.74	0.06	0.12	-0.06	58910.54
0.73	0.57	9.72	-0.06	0.00	-0.12	58910.56
0.70	0.57	9.78	-0.12	-0.12	0.00	58910.58
0.75	0.57	9.73	0.00	0.06	-0.06	58910.60
0.74	0.57	9.79	0.00	0.00	0.06	58910.62
0.78	0.59	9.76	0.00	-0.12	-0.06	58910.64
0.78	0.61	9.72	0.06	0.00	0.00	58910.66
0.73	0.56	9.71	0.00	-0.12	0.00	58910.68
0.74	0.57	9.66	-0.06	-0.12	0.00	58910.70
0.73	0.58	9.77	0.00	-0.12	0.06	58910.72
0.73	0.58	9.77	-0.06	-0.06	0.12	58910.74
0.77	0.58	9.72	0.19	0.00	0.06	58910.76
0.72	0.62	9.79	-0.06	-0.19	0.06	58910.78
0.76	0.60	9.74	-0.06	0.06	-0.06	58910.80
0.76	0.61	9.76	-0.12	0.12	-0.12	58910.82
0.77	0.53	9.78	0.00	0.06	0.00	58910.84
0.76	0.56	9.71	0.12	0.00	0.06	58910.86
0.76	0.56	9.73	0.12	0.12	-0.06	58910.88
0.75	0.59	9.67	0.00	0.19	0.06	58910.90
0.78	0.59	9.76	0.00	0.00	0.00	58910.92
0.77	0.56	9.76	-0.06	-0.12	0.12	58910.94
0.78	0.57	9.68	-0.06	0.00	-0.06	58910.97
0.73	0.57	9.79	-0.12	0.00	0.00	58910.98
0.72	0.56	9.76	-0.06	0.00	0.00	58911.01
0.72	0.60	9.76	-0.06	-0.12	0.06	58911.02
0.78	0.60	9.73	0.12	-0.12	0.00	58911.05
0.76	0.58	9.72	0.00	-0.06	-0.06	58911.07
0.75	0.60	9.76	-0.06	-0.12	0.12	58911.09
0.72	0.58	9.71	-0.12	0.12	-0.06	58911.11
0.74	0.57	9.79	-0.06	-0.12	0.06	58911.13
0.71	0.61	9.67	0.06	-0.19	0.06	58911.15
0.78	0.59	9.75	0.06	0.06	0.06	58911.17
0.78	0.60	9.77	-0.06	0.00	0.06	58911.19
0.78	0.57	9.72	0.12	0.12	0.06	58911.21
